id;name;mssv;address
1;Bedfordshire copy Auto;Rand frictionless;compressing Crossing Bedfordshire
2;Stream;Account drive Refined;Chair Bedfordshire
3;Incredible Iowa;Hampshire adapter and;eco-centric distributed Movies
4;port generate Refined;up experiences Uganda;Alabama invoice Soft
5;array Glens;Pound Sports program;mindshare driver Chief
6;Concrete Station;system Kentucky;deposit Bedfordshire Rustic
7;installation services Course;Multi-lateral world-class Account;superstructure
8;Illinois object-oriented PNG;Supervisor cross-platform;Platinum RAM
9;Stand-alone Lebanese Distributed;input models;enable generate
10;uniform Grocery;stable;Steel Buckinghamshire
